Taxa	eDNA_16S	verts_count	log_eDNA_16S	log_verts_count
Clupea_harengus	0	32	0	1.51851394
Clupea_harengus	7	32.18390805	0.903089987	1.520927531
Merluccius_bilinearis	8312	32.55813953	3.919757781	1.525797875
Melanogrammus_aeglefinus	0	33	0	1.531478917
Sebastes	6300	33.18965517	3.79940948	1.533894721
Amblyraja_radiata	2670	34.41011236	3.426673888	1.549127305
Helicolenus_dactylopterus	9543	35.40462428	3.979730431	1.561156553
Melanogrammus_aeglefinus	2371	36.94444444	3.375114685	1.579148199
Sebastes	0	37.21264368	0	1.582207085
Clupea_harengus	4820	38.88888889	3.683137131	1.600851939
Clupea_harengus	94	40	1.977723605	1.612783857
Merluccius_bilinearis	0	42.77777778	0	1.641253712
Scomber_scombrus	0	43	0	1.643452676
Urophycis_chuss	0	43	0	1.643452676
Squalus_acanthias	534	45.25862069	2.728353782	1.665192679
Myoxocephalus_octodecemspinosus	8754	46	3.94225615	1.672097858
Melanogrammus_aeglefinus	0	49.41176471	0	1.702531901
Glyptocephalus_cynoglossus	11413	49.80769231	4.057437868	1.70592947
Glyptocephalus_cynoglossus	11152	55	4.047391702	1.748188027
Merluccius_bilinearis	7147	56	3.854184544	1.755874856
Clupea_harengus	237	57.16666667	2.376576957	1.764674177
Squalus_acanthias	0	67.61363636	0	1.836410437
Sebastes	0	74.85549133	0	1.879987026
Pollachius_virens	0	76.03448276	0	1.886685171
Merluccius_bilinearis	16939	80	4.228913406	1.908485019
Merluccius_bilinearis	0	83	0	1.924279286
Melanogrammus_aeglefinus	0	84.48275862	0	1.931878529
Merluccius_bilinearis	0	84.48275862	0	1.931878529
Merluccius_bilinearis	118601	90	5.074092013	1.959041392
Myoxocephalus_octodecemspinosus	0	92.47159091	0	1.970679635
Clupea_harengus	0	95.57692308	0	1.984873365
Melanogrammus_aeglefinus	3797	100.1724138	3.57955496	2.005062112
Sebastes	607965	103.4090909	5.783879292	2.018738314
Urophycis_chuss	0	108.3806818	0	2.038940626
Sebastes	0	108.75	0	2.040404529
Sebastes	0	109.8611111	0	2.044779227
Merluccius_bilinearis	992	115.6944444	2.996949248	2.067050181
Melanogrammus_aeglefinus	0	119	0	2.079181246
Melanogrammus_aeglefinus	13119	120.3125	4.117933835	2.083905553
Melanogrammus_aeglefinus	0	122.5	0	2.091666958
Sebastes	25737	126.5384615	4.410574797	2.105641174
Clupea_harengus	4342	133	3.637789829	2.127104798
Merluccius_bilinearis	0	138.75	0	2.145351817
Squalus_acanthias	36734	147.6878613	4.565080044	2.172275515
Myoxocephalus_octodecemspinosus	5541	149.4382022	3.743666521	2.177358135
Helicolenus_dactylopterus	0	167.0454545	0	2.22542677
Melanogrammus_aeglefinus	0	170.0842697	0	2.23321008
Clupea_harengus	0	177.0467836	0	2.250534133
Pollachius_virens	0	178.75	0	2.254668899
Melanogrammus_aeglefinus	3965	179.0229885	3.59835271	2.255327967
Merluccius_bilinearis	4953	184.1040462	3.694956002	2.267415912
Merluccius_bilinearis	5203	216	3.716337288	2.336459734
Melanogrammus_aeglefinus	4078	219.84375	3.610553705	2.344085113
Sebastes	0	220.6944444	0	2.34575481
Merluccius_bilinearis	25	221.7329545	1.414973348	2.347784478
Sebastes	24573	228.2163743	4.390475854	2.360245639
Squalus_acanthias	11098	233.988764	4.045283851	2.371047097
Merluccius_bilinearis	159228	237.7941176	5.202022168	2.378023624
Clupea_harengus	8886	261.4942529	3.94875518	2.419119799
Merluccius_bilinearis	0	265	0	2.424881637
Melanogrammus_aeglefinus	0	265.4829545	0	2.425669435
Sebastes	0	265.5172414	0	2.425725309
Clupea_harengus	94	287.65625	1.977723605	2.460380965
Merluccius_bilinearis	0	293.0232558	0	2.468381682
Melanogrammus_aeglefinus	3249	353	3.511883361	2.549003262
Squalus_acanthias	0	373.5955056	0	2.573562562
Glyptocephalus_cynoglossus	20313	375.1436782	4.307795448	2.575353767
Melanogrammus_aeglefinus	0	393	0	2.595496222
Merluccius_bilinearis	7878	431.9364162	3.8964711	2.636424118
Merluccius_bilinearis	2601	519.1666667	3.415307292	2.716142518
Merluccius_bilinearis	0	522	0	2.718501689
Helicolenus_dactylopterus	7976	535.6944444	3.901839592	2.7297271
Melanogrammus_aeglefinus	7311	576.1235955	3.864036183	2.761268831
Melanogrammus_aeglefinus	0	805.1912568	0	2.906438084
Melanogrammus_aeglefinus	118710	1385.733696	5.074490963	3.141993069
Melanogrammus_aeglefinus	2753	1405.898876	3.439963936	3.148262883
Sebastes	4578	2558.62069	3.660770644	3.408175612
Sebastes	35437	4030.028736	4.549469204	3.605415894
