"call","kingdom","subkingdom","infrakingdom","phylum","subphylum","infraphylum","superclass","class","superorder","order","family","subfamily","genus","species","taxID","db","CO1","m18s","m12s","m16s"
"Anisarchus medius","Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Acanthopterygii","Perciformes","Stichaeidae",NA,"Anisarchus","Anisarchus medius","171620","itis",FALSE,FALSE,FALSE,TRUE
"Annelida","Animalia","Bilateria","Protostomia","Annelida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64357","itis",FALSE,TRUE,FALSE,FALSE
"Anobothrus gracilis","Animalia","Bilateria","Protostomia","Annelida",NA,NA,NA,"Polychaeta",NA,"Terebellida","Ampharetidae",NA,"Anobothrus","Anobothrus gracilis","67778","itis",FALSE,TRUE,FALSE,FALSE
"Aphrodita hastata","Animalia","Bilateria","Protostomia","Annelida",NA,NA,NA,"Polychaeta",NA,"Phyllodocida","Aphroditidae",NA,"Aphrodita","Aphrodita hastata","64365","itis",TRUE,FALSE,FALSE,FALSE
"Arctica islandica","Animalia","Bilateria","Protostomia","Mollusca",NA,NA,NA,"Bivalvia",NA,"Veneroida","Arcticidae",NA,"Arctica","Arctica islandica","81343","itis",TRUE,FALSE,FALSE,FALSE
"Arctozenus risso","Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Cyclosquamata","Aulopiformes","Paralepididae",NA,"Arctozenus","Arctozenus risso","644687","itis",FALSE,FALSE,TRUE,FALSE
"Argentina silus","Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Protacanthopterygii","Osmeriformes","Argentinidae",NA,"Argentina","Argentina silus","162064","itis",TRUE,FALSE,TRUE,TRUE
"Aricidea","Animalia","Bilateria","Protostomia","Annelida",NA,NA,NA,"Polychaeta",NA,NA,"Paraonidae",NA,"Aricidea",NA,"66666","itis",FALSE,TRUE,FALSE,FALSE
"Artacama proboscidea","Animalia","Bilateria","Protostomia","Annelida",NA,NA,NA,"Polychaeta",NA,"Terebellida","Terebellidae",NA,"Artacama","Artacama proboscidea","67987","itis",TRUE,FALSE,FALSE,FALSE
"Asterias rubens","Animalia","Bilateria","Deuterostomia","Echinodermata","Asterozoa",NA,NA,"Asteroidea","Forcipulatacea","Forcipulatida","Asteriidae",NA,"Asterias","Asterias rubens","157220","itis",TRUE,FALSE,TRUE,FALSE
"Aurelia","Animalia","Radiata",NA,"Cnidaria","Medusozoa",NA,NA,"Scyphozoa",NA,"Semaeostomeae","Ulmaridae","Aureliinae","Aurelia",NA,"51700","itis",TRUE,FALSE,FALSE,FALSE
"Aurelia aurita","Animalia","Radiata",NA,"Cnidaria","Medusozoa",NA,NA,"Scyphozoa",NA,"Semaeostomeae","Ulmaridae","Aureliinae","Aurelia","Aurelia aurita","51701","itis",TRUE,FALSE,FALSE,FALSE
"Aves","Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Tetrapoda","Aves",NA,NA,NA,NA,NA,NA,"174371","itis",TRUE,FALSE,FALSE,FALSE
"Balaenoptera acutorostrata","Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Tetrapoda","Mammalia",NA,"Cetacea","Balaenopteridae",NA,"Balaenoptera","Balaenoptera acutorostrata","180524","itis",TRUE,FALSE,TRUE,FALSE
